Date_NodeID	1_0	6_0	7_0	10_0	10_1
20221226	0.00	0.80	0.80	0.80	0.18
20221227	0.00	0.80	0.00	0.80	0.98
20221228	0.00	0.80	0.00	0.80	0.13
20221229	0.00	0.80	0.00	0.80	0.08
20221230	0.00	0.80	0.00	0.80	0.35
20221231	0.00	0.80	0.00	0.80	0.09
20230101	0.00	0.80	0.00	0.80	0.41
20230102	0.00	0.80	0.00	0.80	0.79
20230103	0.00	0.80	0.00	0.80	0.62
20230104	0.00	0.80	0.00	0.80	0.55
20230105	0.00	0.80	0.00	0.80	0.96
20230106	0.00	0.80	0.00	0.80	0.54
20230107	0.00	0.80	0.00	0.80	0.63
20230108	0.00	0.80	0.00	0.80	0.08
20230109	0.00	0.80	0.00	0.80	0.91
20230110	0.00	0.80	0.00	0.80	0.57
20230111	0.00	0.80	0.00	0.80	0.81
20230112	0.00	0.80	0.00	0.80	0.27
20230113	0.00	0.80	0.00	0.80	0.30
20230114	0.00	0.80	0.00	0.80	0.79
20230115	0.00	0.80	0.00	0.80	0.65
20230116	0.00	0.80	0.00	0.80	0.33
20230117	0.00	0.80	0.00	0.80	0.38
20230118	0.00	0.80	0.00	0.80	0.55
20230119	0.00	0.80	0.00	0.80	0.32
20230120	0.00	0.80	0.00	0.80	0.86
20230121	0.00	0.80	0.00	0.80	0.09
20230122	0.00	0.80	0.00	0.80	0.06
20230123	0.00	0.80	0.00	0.80	0.54
20230124	0.00	0.80	0.00	0.80	0.48
20230125	0.00	0.80	0.80	0.80	0.23
20230126	0.00	0.80	0.80	0.80	0.05
20230127	0.00	0.43	0.43	0.43	0.53
20230128	0.00	0.00	0.00	0.00	0.38
20230129	0.00	0.00	0.00	0.00	0.46
20230130	0.00	0.00	0.00	0.00	0.55
20230131	0.00	0.00	0.00	0.00	0.11
20230201	0.00	0.00	0.00	0.00	0.19
20230202	0.00	0.00	0.00	0.00	0.76
20230203	0.00	0.00	0.00	0.00	0.61
20230204	0.00	0.00	0.00	0.00	0.87
20230205	0.00	0.00	0.00	0.00	0.28
20230206	0.00	0.00	0.00	0.00	0.81
20230207	0.00	0.00	0.00	0.00	0.86
20230208	0.00	0.00	0.00	0.00	0.96
20230209	0.00	0.00	0.00	0.00	0.77
20230210	0.00	0.00	0.00	0.00	0.65
20230211	0.00	0.00	0.00	0.00	0.12
20230212	0.00	0.00	0.00	0.00	0.21
20230213	0.00	0.00	0.00	0.00	0.43
20230214	0.00	0.00	0.00	0.00	0.60
20230215	0.00	0.00	0.00	0.00	0.14
20230216	0.00	0.00	0.00	0.00	0.96
20230217	0.00	0.00	0.00	0.00	0.39
20230218	0.00	0.00	0.00	0.00	0.75
20230219	0.00	0.00	0.00	0.00	0.30
20230220	0.00	0.00	0.00	0.00	0.85
20230221	0.00	0.00	0.00	0.00	0.61
20230222	0.00	0.00	0.00	0.00	0.46
20230223	0.00	0.00	0.00	0.00	0.87
20230224	0.00	0.00	0.00	0.00	0.54
20230225	0.00	0.00	0.00	0.00	0.43
20230226	0.00	0.00	0.00	0.00	0.42
20230227	0.00	0.00	0.00	0.00	0.08
20230228	0.00	0.00	0.00	0.00	0.06
20230301	0.00	0.00	0.00	0.00	0.23
20230302	0.00	0.00	0.00	0.00	0.72
20230303	0.00	0.00	0.00	0.00	0.89
20230304	0.54	0.00	0.00	0.00	0.72
20230305	1.00	0.00	0.00	0.00	0.66
20230306	1.00	0.00	0.00	0.00	0.90
20230307	1.00	0.00	0.00	0.00	0.06
20230308	1.00	0.00	0.00	0.00	0.67
20230309	1.00	0.00	0.00	0.00	0.26
20230310	1.00	0.00	0.00	0.00	0.96
20230311	1.00	0.00	0.00	0.00	0.51
20230312	1.00	0.00	0.00	0.00	0.03
20230313	1.00	0.00	0.00	0.00	0.14
20230314	1.00	0.00	0.00	0.00	0.66
20230315	1.00	0.00	0.00	0.00	0.82
20230316	1.00	0.00	0.00	0.00	0.90
20230317	1.00	0.00	0.00	0.00	0.30
20230318	1.00	0.00	0.00	0.00	0.21
20230319	1.00	0.00	0.00	0.00	0.59
20230320	1.00	0.00	0.00	0.00	0.86
20230321	1.00	0.00	0.00	0.00	0.36
20230322	1.00	0.00	0.00	0.00	0.78
20230323	1.00	0.00	0.00	0.00	0.05
20230324	1.00	0.00	0.00	0.00	0.20
20230325	1.00	0.00	0.00	0.00	0.98
20230326	1.00	0.00	0.00	0.00	0.58
20230327	1.00	0.00	0.00	0.00	0.58
20230328	1.00	0.00	0.00	0.00	0.96
20230329	1.00	0.00	0.00	0.00	0.49
20230330	1.00	0.00	0.00	0.00	0.04
20230331	0.71	0.00	0.00	0.00	0.05
20230401	0.00	0.00	0.00	0.00	0.65
20230402	0.00	0.00	0.00	0.00	0.65
20230403	0.00	0.00	0.00	0.00	0.88
20230404	0.00	0.00	0.00	0.00	0.51
20230405	0.00	0.00	0.00	0.00	0.35
20230406	0.00	0.00	0.00	0.00	0.31
20230407	0.00	0.00	0.00	0.00	0.64
20230408	0.00	0.00	0.00	0.00	0.55
20230409	0.00	0.00	0.00	0.00	0.38
20230410	0.00	0.00	0.00	0.00	0.27
20230411	0.07	0.07	0.07	0.07	0.28
20230412	0.80	0.80	0.80	0.80	0.74
20230413	0.80	0.80	0.80	0.80	0.95
20230414	0.80	0.80	0.80	0.80	0.99
20230415	0.80	0.80	0.80	0.80	0.10
20230416	0.80	0.80	0.80	0.80	0.20
20230417	0.80	0.80	0.80	0.80	0.84
20230418	0.80	0.80	0.80	0.80	0.13
20230419	0.80	0.80	0.80	0.80	0.25
20230420	0.80	0.80	0.80	0.80	0.77
20230421	0.80	0.80	0.80	0.80	0.85
20230422	0.80	0.80	0.80	0.80	0.59
20230423	0.80	0.80	0.80	0.80	0.14
20230424	0.80	0.80	0.80	0.80	0.54
20230425	0.80	0.80	0.80	0.80	0.98
20230426	0.80	0.80	0.80	0.80	0.36
20230427	0.80	0.80	0.80	0.80	0.70
20230428	0.80	0.80	0.80	0.80	0.96
20230429	0.80	0.80	0.80	0.80	0.47
20230430	0.80	0.80	0.80	0.80	0.73
20230501	0.80	0.80	0.80	0.80	0.98
20230502	0.80	0.80	0.80	0.80	0.83
20230503	0.80	0.80	0.80	0.80	0.43
20230504	0.80	0.80	0.80	0.80	0.92
20230505	0.80	0.80	0.80	0.80	0.53
20230506	0.80	0.80	0.80	0.80	0.29
20230507	0.80	0.80	0.80	0.80	0.18
20230508	0.80	0.80	0.80	0.80	0.23
20230509	0.80	0.80	0.80	0.80	0.64
20230510	0.80	0.80	0.80	0.80	0.47
20230511	0.23	0.23	0.23	0.23	0.50
20230512	0.00	0.00	0.00	0.00	0.04
20230513	0.00	0.00	0.00	0.00	0.20
20230514	0.00	0.00	0.00	0.00	1.00
20230515	0.00	0.00	0.00	0.00	0.26
20230516	0.00	0.00	0.00	0.00	0.20
20230517	0.00	0.00	0.00	0.00	0.17
20230518	0.00	0.00	0.00	0.00	0.01
20230519	0.00	0.00	0.00	0.00	0.87
20230520	0.00	0.00	0.00	0.00	0.81
20230521	0.00	0.00	0.00	0.00	0.53
20230522	0.00	0.00	0.00	0.00	0.43
20230523	0.00	0.00	0.00	0.00	0.89
20230524	0.00	0.00	0.00	0.00	0.53
20230525	0.00	0.00	0.00	0.00	0.91
20230526	0.00	0.00	0.00	0.00	0.21
20230527	0.00	0.00	0.00	0.00	0.02
20230528	0.00	0.00	0.00	0.00	0.75
20230529	0.00	0.00	0.00	0.00	0.14
20230530	0.00	0.00	0.00	0.00	0.36
20230531	0.00	0.00	0.00	0.00	0.08
20230601	0.00	0.00	0.00	0.00	0.87
20230602	0.00	0.00	0.00	0.00	0.64
20230603	0.00	0.00	0.00	0.00	0.20
20230604	0.00	0.00	0.00	0.00	0.63
20230605	0.00	0.00	0.00	0.00	0.32
20230606	0.00	0.00	0.00	0.00	0.32
20230607	0.00	0.00	0.00	0.00	0.49
20230608	0.00	0.00	0.00	0.00	0.46
20230609	0.00	0.00	0.00	0.00	0.89
20230610	0.00	0.00	0.00	0.00	0.81
20230611	0.00	0.00	0.00	0.00	0.45
20230612	0.00	0.00	0.00	0.00	0.22
20230613	0.00	0.00	0.00	0.00	0.07
20230614	0.00	0.00	0.00	0.00	0.77
20230615	0.00	0.00	0.00	0.00	0.33
20230616	0.00	0.00	0.00	0.00	0.91
20230617	0.00	0.00	0.00	0.00	0.91
20230618	0.00	0.00	0.00	0.00	0.45
20230619	0.00	0.00	0.00	0.00	0.88
20230620	0.00	0.00	0.00	0.00	0.16
20230621	0.00	0.00	0.00	0.00	0.56
20230622	0.00	0.00	0.00	0.00	0.13
20230623	0.00	0.00	0.00	0.00	0.11
20230624	0.00	0.00	0.00	0.00	0.37
20230625	0.00	0.00	0.00	0.00	0.97
20230626	0.00	0.00	0.00	0.00	0.08
20230627	0.00	0.00	0.00	0.00	0.59
20230628	0.00	0.00	0.00	0.00	0.24
20230629	0.00	0.00	0.00	0.00	0.72
20230630	0.00	0.00	0.00	0.00	0.04
20230701	0.00	0.00	0.00	0.00	0.34
20230702	0.00	0.00	0.00	0.00	0.32
20230703	0.00	0.00	0.00	0.00	0.93
20230704	0.00	0.00	0.00	0.00	0.79
20230705	0.00	0.00	0.00	0.00	0.52
20230706	0.00	0.00	0.00	0.00	0.03
20230707	0.00	0.00	0.00	0.00	0.74
20230708	0.00	0.00	0.00	0.00	0.23
20230709	0.00	0.00	0.00	0.00	0.75
20230710	0.00	0.00	0.00	0.00	0.91
20230711	0.00	0.00	0.00	0.00	0.72
20230712	0.00	0.00	0.00	0.00	0.36
20230713	0.00	0.00	0.00	0.00	0.63
20230714	0.00	0.00	0.00	0.00	0.38
20230715	0.00	0.00	0.00	0.00	0.71
20230716	0.00	0.00	0.00	0.00	0.37
20230717	0.00	0.00	0.00	0.00	0.51
20230718	0.00	0.00	0.00	0.00	0.94
20230719	0.80	0.80	0.80	0.80	0.15
20230720	0.80	0.80	0.80	0.80	0.20
20230721	0.80	0.80	0.80	0.80	0.62
20230722	0.80	0.80	0.80	0.80	0.62
20230723	0.80	0.80	0.80	0.80	0.76
20230724	0.80	0.80	0.80	0.80	0.65
20230725	0.80	0.80	0.80	0.80	0.95
20230726	0.80	0.80	0.80	0.80	0.20
20230727	0.80	0.80	0.80	0.80	0.68
20230728	0.80	0.80	0.80	0.80	0.08
20230729	0.80	0.80	0.80	0.80	0.30
20230730	0.80	0.80	0.80	0.80	0.30
20230731	0.80	0.80	0.80	0.80	0.41
20230801	0.80	0.80	0.00	0.80	0.25
20230802	0.80	0.80	0.00	0.80	0.39
20230803	0.80	0.80	0.00	0.80	0.75
20230804	0.80	0.80	0.00	0.80	0.70
20230805	0.80	0.80	0.00	0.80	0.94
20230806	0.80	0.80	0.00	0.80	0.91
20230807	0.80	0.80	0.00	0.80	0.99
20230808	0.80	0.80	0.00	0.80	0.33
20230809	0.80	0.80	0.00	0.80	0.28
20230810	0.80	0.80	0.00	0.80	0.21
20230811	0.80	0.80	0.00	0.80	0.09
20230812	0.80	0.80	0.00	0.80	0.83
20230813	0.80	0.80	0.00	0.80	0.51
20230814	0.80	0.80	0.00	0.80	0.60
20230815	0.80	0.80	0.00	0.80	0.78
20230816	0.80	0.80	0.00	0.80	0.90
20230817	0.80	0.80	0.00	0.80	0.89
20230818	0.80	0.80	0.00	0.80	0.63
20230819	0.80	0.80	0.00	0.80	0.10
20230820	0.80	0.80	0.00	0.80	0.93
20230821	0.80	0.80	0.00	0.80	0.71
20230822	0.80	0.80	0.00	0.80	0.29
20230823	0.80	0.80	0.00	0.80	0.12
20230824	0.80	0.80	0.00	0.80	0.44
20230825	0.80	0.80	0.00	0.80	0.76
20230826	0.80	0.80	0.00	0.80	0.46
20230827	0.80	0.80	0.00	0.80	0.49
20230828	0.80	0.80	0.00	0.80	0.50
20230829	0.80	0.80	0.00	0.80	0.04
20230830	0.80	0.80	0.00	0.80	0.67
20230831	0.80	0.80	0.00	0.80	0.82
